Summary,Description,Analysis
CLONE - Core Logs needed IOT-14892 - MQTT connection not working on eu-latest since 10.14 upgrade,"Tenant: https://switschel.eu-latest.cumulocity.com 
Version: 10.14.0.68 

It seems that with 10.14 Devices connected via MQTT cannot communicate anymore properly with the platform on eu-latest. 

It did several tests with the dm-agent and MQTTBox and the results are always that if something is send the device managed object (MO) is created, but not the _c8y_Serial_ identity. This result in multiple MOs created sent from the same Agent/Client (with same client id). 

What it did is basically: 

*_2022-08-23 08:38:38,808 MainThread DEBUG c8ydm.client.mqtt_agent Send: topic=s/us msg=100,dm-example-device-9163eae89c3d,c8y_dm_example_device_* 

QoS 2 and QoS 0 have been tested. 

After a very long time, we get this on _s/e_: 

*_2022-08-23 08:50:50,536 Thread-1 DEBUG c8ydm.client.mqtt_agent Received: topic=s/e msg=50,100,Error on device creation,"" message: Failed to connect Pulsar producer Pulsar NotificationPublishService publisher pool wait>_* 

The MO is created but there is no _*c8y_Serial*_ identity leading in multiple MO created each time something via MQTT is sent to the platform. 

This seems to be a tenant related issue as other tenants are reported to be working.",Incident
Please delete some Tenants for us on our Staging environment,"*Necessary iTrac information (Please remove those items not applicable)* 
*Affected system* 

SAG Cloud region: *EMEA*  Version *10.16* 
Time Zone: *CET* 

*Affected tenant* 

Tenant: *see list in description* 

*Description of the Problem:* 

Eppendorf needs to have some tenants deleted: 

{color:#172b4d}t19282594 
{color}{color:#172b4d}t14699897 
{color}{color:#172b4d}t20091236 
t10027404 
t10027406 
t151657938 
t156569943 
t159117084 
t156689767 
t156608888 
t153124225 
t153128082 
t153128942 
t153132376 
t153132811 
t153596542 
t153608570{color} 

Thanks 

Michael",Incident
CLONE - Issue on DataBroker (24/4/15),"*Necessary iTrac information (Please remove those items not applicable)* 
*Affected system* 

SAG Cloud region: _{_}{{_}}Japan{{_}}{_}_____ Domain ____{_}{{_}}cumonosu.com{{_}}{_}____ Version ____{_}{{_}}10.18{{_}}{_}____ 
System Usage (Choose one of: Production / Test / Development): ____{_}{{_}}Production{{_}}{_}___ 
Time Zone: ___{_}{{_}}JST{{_}}{_}_____ 

*Affected tenant* 

Tenant: [https://okippa.cumonosu.com|https://okippa.cumonosu.com/]   

[https://okippanishimatsu.cumonosu.com|https://okippanishimatsu.cumonosu.com/]  

[https://miyazakikasenkokudou.cumonosu.com|https://miyazakikasenkokudou.cumonosu.com/] 

[https://okippa_ext.cumonosu.com|https://okippa_ext.cumonosu.com/] 

[https://shiogama.cumonosu.com|https://shiogama.cumonosu.com/] 

[https://okippagreen_tx.cumonosu.com|https://okippagreen_tx.cumonosu.com/] 

[https://okippagreen-th.cumonosu.com|https://okippagreen-th.cumonosu.com/]  

Enterprise Tenant? Yes 

*Application:* 
* (URL in ""Own applications"" if not standard app): DataBroker 

*Time period error was observed:* 
* Start: ___{*}2024/04/15  20:30 JST{*} _______ End: ____2012/04/16 
* Repeatability?  Seen _3_ times in last day 
* Frequency - Time of day: From 20:4 - 20:39 JST Apr. 15th 

*Attach log files...*  Please find attached for the list of alarms when user got at the time from 20:34 - 20:39 JST Apr. 15th. 

Checked the Grafana and please find the first occurrence logs on 15th via link:  [https://grafana.monitor.c8y.io:3000/d/UMOFKKiVz/core-logs?orgId=1&var-datasource=loki-prod-apj-01&var-c8yEnv=cumulocity-multinode-ap-northeast-1-prod&var-nodename=All&var-namespace=cumulocity-core&var-context=databroker&var-filter=&from=1713180780000&to=1713181140000]  

*Description of the Problem:* 

End customer got an issue on DataBroker on Apr 15 at 20:30 in JST. Since then, all the connection via DataBroker stopped sending data between tenants. 

Got the following alarms for all the connection via DataBroker: 
Sample alarm: 
- ""type"": ""c8y_BrokerConnectionError_2869984"", 
- ""text"": ""Data broker is not able to connect to destination tenant for connector 2869984. Events will not be forwarded until the connection is restored."", 
Because this errors on DataBroker created CRIRIS in destination tenants, the impact of this error is huge. Can you tell us why this happened? 

This morning, customer deactivated and reactivated the DataConnector in source tenants and then the data started sending again. 

Kindly help check if DataBroker itself is working correctly and what is the cause of the alarms? 

  

{*}Update{*}: Issue occurred again around {*}21:45 JST Apr. 16th{*}. As customer manually inactivate and reactivate DataConnector, data were sent again. Since all DataConnector stopped sending data, this is very problematic and critically damaged to customer’s business. Please help check and fix this issue? How to prevent it from occurring again?",Incident
PROD: Mongo CPU Utilisation has been increased 2-3 times than usual since prod upgrade,"After production upgrade to v10.11, we have noticed an unusual increase in Mongo_CPU Utilisation. Though it has not reached the full capacity but the utilization has increased almost 2-3 times than usual since upgrade. 

Could you please take a look and let us know the reason for this significant increase? and also if any impact expected in near future?",Incident
Hillrom Sandbox increase maximum device certificate chain length,"Baxter team are currently testing their device certificate auth use-case. As part of that they would like to temporarily increase the maximum device certificate chain length to 9. 

This is configured in the _cumulocity-core.properties_ file. The option is _mqtt.clientCertificate.maxChainLength._ 
Changing this option will require core restart.",Ticket
Issues with OTA Updates and EPL Monitors and receiving emails,"Tenant ID:  t114121 

Tenant url:  prod.flexcoelevatedashboard.com 

  

After our platform was upgraded to 10.15, we are now experiencing issues with our Apama EPL monitors and Alarms including sending emails from the monitor (AlarmSettingsManager). The other issue is that we are unable to send over the air updates to our IoT devices. We keep getting an error called \{{""failureReason"": ""Delete not supported"". }} 

  

I don't see any errors in the Apama logs.  Checking with customer for more clarification on the issues they are seeing with the EPL and where exactly they are seeing the error they mentioned. 

  

 ",Incident
Please check ngbr-backend-digestor-scope-t9763259-pod,"SBD environment: Can you check this pod? *ngbr-backend-digestor-scope-t9763259-pod* 
  
  
Customer is seeing this error: 
  
  
Failure executing: GET at: [https://localhost:6443/api/v1/namespaces/stanleybd-multinode-prod/pods/ngbr-backend-digestor-scope-t9763259-deployment-6c5cf757f7cjnz4/log?pretty=true&tailLines=2000&timestamps=true]. Message: container ""ngbr-backend-digestor-scope-t9763259-pod"" in pod ""ngbr-backend-digestor-scope-t9763259-deployment-6c5cf757f7cjnz4"" is waiting to start: trying and failing to pull image. Received status: Status(apiVersion=v1, code=400, details=null, kind=Status, message=container ""ngbr-backend-digestor-scope-t9763259-pod"" in pod ""ngbr-backend-digestor-scope-t9763259-deployment-6c5cf757f7cjnz4"" is waiting to start: trying and failing to pull image, metadata=ListMeta(_continue=null, remainingItemCount=null, resourceVersion=null, selfLink=null, additionalProperties={}), reason=BadRequest, status=Failure, additionalProperties={}). 
  
Is there a log file as we get this error when trying to view it from the UI?",Incident
Unify microservice is unable to send any query to dremio,"(SI-510801) Please help look into the Solenis platform to see if they are having problems? Customer is reporting ""Seems like something wrong with our platform or datahub our unify microservice is unable to run any query to dremio"". 

This has been resolved by restarting datahub. 

We need the logs that OPS saved. 

  

*Necessary iTrac information (Please remove those items not applicable)* 
*Affected system* 

SAG Cloud region: ____AME______ 

Version ____10.15________ 
System Usage (Choose one of: Production / Test / Development): ___Production_____ 

*Affected tenant* 

Tenant: [cloud.iot.solenis.com|http://cloud.iot.solenis.com/] 
Enterprise Tenant? Yes 
System accessible by R&D? No 

*Issue associated device, application and/or microservice* 

Example URL with the issue:  

Ex- API - [https://cloud.iot.solenis.com/service/unify/measurement/measurements/series?&dateFrom=2023-01-28T18:30:00.000Z&dateTo=2023-03-29T18:29:42.000Z&pageSize=1440&revert=true&series=sol_onguardMeasurement.12_analog&source=588843734] 

*Microservice:* 
* (URL in ""Own applications"" if not standard app): ____Datahub______ 

*Time period error was observed:* 
* Ongoing. 
* Repeatability? Always 
* Frequency - All the time 

*Description of the Problem:* 

Seems like something wrong with our platform or datahub our unify microservice is unable to run any query to dremio. 

Once i hit the API which fetches data to our dashboard the query run in the microsewrvice but it never went to the dremio to execute. 

It is currently impacting our production and we are now totally cut of from our datalake. 

Tenant- [cloud.iot.solenis.com|http://cloud.iot.solenis.com/] 

Ex- API - [https://cloud.iot.solenis.com/service/unify/measurement/measurements/series?&dateFrom=2023-01-28T18:30:00.000Z&dateTo=2023-03-29T18:29:42.000Z&pageSize=1440&revert=true&series=sol_onguardMeasurement.12_analog&source=588843734] 

  

*Update at 9:00AM GMT+2 July 6th:* 

Another tenant also having the issue. Currently it seems all not only one tenant were hit by this issue. 

Tenant: [https://pca.iot.solenis.com|https://pca.iot.solenis.com/] 

Kindly help check this.",Incident
Microservices (OEE app) not starting. There seems to be k8s problem,"Sony are trying to start OEE microservice but getting error... 

  

{_}0/7 nodes are available: 2 Insufficient cpu, 2 node(s) were unschedulable, 3 node(s) had taint {{_}[node-role.kubernetes.io/master:|http://node-role.kubernetes.io/master:] _}, that the pod didn't tolerate._ 

The tenant is [https://oee-showcase.dev.ss.c8y.io/]",Incident
Immediate deletion of EMT-tenants,"Deletion of the 2  suspended tickets on cumulocity.com 

1)EMT-IoT  | {*}t1612822686{*}|{*}emt-iot.cumulocity.com{*}| (parent tenant: t1140957597 ) | Lukas Scholze| 

2)  EMT Pre-Prod  | {*}t1978510818{*}| *bmp-preprod.emt.connect.liebherr.com*  (parent tenant: t1140957597 ) 

Customer had confirmed that he is entitled to order the deletion (and my us privileges are not sufficient for that procedure). 

 ","1) Ticket  
2) Ticket"
Reset connection of datahub error,"From C8y Ops chat 
Hello, we need to restart microservice datahub (407) for [mohawk-iiot.emea.cumulocity.com|http://mohawk-iiot.emea.cumulocity.com/] until 10am, can someone please do that? It hangs. 
I'm only able to restart it for all tenants from management tenant. 
  
Alf Lundsten 
BTW - Tomislav noticed yesterday that mohawk is doing data offloads once/minute 
can we stop doing that? 
then the microservice might also become more stable? 
  
Christian Herzog 
Yes we are in touch with the customer and have the next meeting 10 am 
Strange, yesterday was the datahub connection broken. 
for [mohawk-iiot.emea.cumulocity.com|http://mohawk-iiot.emea.cumulocity.com/] 
From 8am this morning we try to enable it again. 
  
Alf Lundsten 
would you happen to have their tenantID? 
  
Christian Herzog 
tenant ID = t11553862 
  
Alf Lundsten 
datahub is doing something really strange at emea 
  
[root@Cumulocity-Azure-FRA-Prod-kubemaster-1 ~]# kc get po | grep datahub datahub-scope-eatonnubisnet-deployment-6d6d4b48f7-8wdks 1/1 Running 0 10d datahub-scope-management-deployment-5445bcd775-bcs7s 0/1 Terminating 0 25d datahub-scope-management-deployment-5c96bc558f-w7w4b 1/1 Running 0 10d datahub-scope-t10040326-deployment-664bbf5956-fgxhd 1/1 Running 0 10d datahub-scope-t10040326-deployment-f9c7b7b4d-6kqj5 0/1 Terminating 0 25d datahub-scope-t11553862-deployment-69886747fc-84dx9 0/1 Terminating 1 25d datahub-scope-t11553862-deployment-789797f897-x2j96 1/1 Running 0 10d datahub-scope-t19038577-deployment-5fbb5fb986-8gtw2 0/1 Terminating 0 25d datahub-scope-t19038577-deployment-6c48cf67f4-6q676 1/1 Running 0 10d datahub-scope-t21003750-deployment-66f76f6f9d-lps7m 1/1 Running 0 10d datahub-scope-t21003750-deployment-6ff5c57fb6-ggzgx 0/1 Terminating 0 25d datahub-scope-t21788514-deployment-54745b4448-dhsj5 0/1 Terminating 0 25d datahub-scope-t21788514-deployment-745989fd68-m4fzd 1/1 Running 0 10d datahub-scope-t21789255-deployment-64db8f59fc-zmj8z 0/1 Terminating 0 25d datahub-scope-t21789255-deployment-6d8c864bb5-p6csv 1/1 Running 0 10d datahub-scope-t58739859-deployment-9c7fff7fb-lmbxd 0/1 Terminating 0 20d datahub-scope-t58739859-deployment-dd46bb5d4-vf4cp 1/1 Running 0 10d 
  
pods being in terminated state for like 20 days? 
  
Christian - their active pod has been deleted datahub-scope-t11553862-deployment-789797f897-x2j96 1/1 Running 0 10d 
For the meeting at 10 the restart of datahub for t11553862 would be helpful, lets clarify the other issues later. 
OK we see the restart 
Thanks! 
  
Alf Lundsten 
state is still Running 0/1 though 
now 1/1 
  
Christian Herzog 
Thanks it works! 
  
Tim Doernemann 
@Alf Lundsten Is it possible that we have a problem with the RDBMS on emea? Maybe the total number of parallel connections is too high or so? The Microservice is completely stuck in waiting for the DB to respond to simple queries 
  
Luca Fuso 
this seems similar to what I saw in adamos dev some time ago 
and it was not datahub related 
I had to restart workers at that time",Incident
Microservices on the Platform is in CEST timezone and not UTC/GMT,"Baxter 10.18 Dev environment 

*.deviot.hillrom.com 

The 10.18 tenants that are setup for Baxter are running in CEST timezone. And hence the Microservice / Kubernates is running in CEST timezone, so all the dates logged/converted are in CEST and not UTC. 

They need the timezone of the microservices changed from CEST to UTC/GMT. 

  

After the change, do the microservices need to be restarted for it to take affect?   Or does it to that dynamically? 

  

Thanks, 

Kent 

 ",Ticket
Devices failing to connect since before the 21/9 on APJ,"MIOT reported below issue

***
We are seeing across 3 tenants and 2 countries/telcos that devices are failing to connect to APJ cumulocity with their last connection from the 19/9 to around 2am UTC on the 21/9. 
Strangely we have 3 devices still connecting to one tenant but I can't see a pattern. Have other customers experienced this recently? 
Have there been any issues since the upgrade to 10.10?
***

Further analysis seems to point to a TLS certificate rejection by their radio modem. 
They are aware that APJ certs haven’t change since February. 
They wonder if there are any certificate or TLS related changes around 21/9

Please check.
We asked for exact tenant names and device ids that are affected and logs if any. Please check if there are any side effects from the upgrade we did on 16th.",Incident
MEA Report for Jul-23 and Aug-23,"SAG Cloud region: APJ 

Customer: Kallipr Pty Ltd 

Kallipr Pty LTD is asking to send through the MEA Report for Billing for {*}Jul-23 and Aug-23{*}. Let me know if you need any more info.",Ticket
Delete the Eppendorf tenants from EMEA instance,"*Affected system* 

Eppendorf tenants on EMEA instance 

*Description of the Problem:* 

Please delete the following Eppendorf tenants on EMEA instance. 

|ExternalTenantId| 
|t148968688| 
|t149061122| 
|t152534993| 
|t244505135| 
|t252077791| 
|t252087620| 
|t273177021| 
|t275402352| 
|t299708854| 
|t305712168| 
|t320898282|",Ticket
Whole platform down,"Again, all our PRODUCTION environments are currently down, all our customers are affected! 

Second time in less than 48 hours! 

12 tenants on *.cumulocity.com domain 

We have seen the notification about degraded availability, but we have nothing any more, we can’t even inform our customers. 

Please resolve asap and provide root cause! 

[management.americas.keminconnect.com|http://management.americas.keminconnect.com/] 

[my.americas.keminconnect.com|http://my.americas.keminconnect.com/] 

[management.emea.keminconnect.com|http://management.emea.keminconnect.com/] 

[my.emea.keminconnect.com|http://my.emea.keminconnect.com/] 

[adesco-ie.emea.keminconnect.com|http://adesco-ie.emea.keminconnect.com/] 

[management.apac.keminconnect.com|http://management.apac.keminconnect.com/] 

[my.apac.keminconnect.com|http://my.apac.keminconnect.com/] 

[management.dev.keminconnect.com|http://management.dev.keminconnect.com/] 

[development.dev.keminconnect.com|http://development.dev.keminconnect.com/] 

[internal.dev.keminconnect.com|http://internal.dev.keminconnect.com/] 

[integration.dev.keminconnect.com|http://integration.dev.keminconnect.com/]",Incident
"Error ""Not connected to broker""","Urgent help needed to see why tenant t721899389 on c8y prod gets http 500 when a measurement or event is added. The measurement/event is created but the response is .. 

  

{     ""error"": ""general/internalError"",     ""message"": ""Processing exceptions:\nError response: Not connected to broker : Error response: Not connected to broker"",     ""info"": ""[https://www.cumulocity.com/guides/reference/rest-implementation//#a-name-error-reporting-a-error-reporting""|https://www.cumulocity.com/guides/reference/rest-implementation//#a-name-error-reporting-a-error-reporting%22] } 

  

Above is POSTMAN, some microservices are also getting it. Grafana logs for http 500.. 

  

!image-2024-04-10-15-02-17-979.png! 

  

  

Suspect Pulsar.",Incident
Urgent request to review DEFAULT_BLOCK_SIZE param in LWM2M PROD,"Hi support,

Our customer (SEW) believes that their devices are failing FOTA due to blocks being too large on a certain device class (Multix meter). FOTA works in LWM2M DEV but not PROD. What is the DEFAULT_BLOCK_SIZE param currently set to in PROD? In DEV, it is 256 bytes.

The customer is going to rollout Multix devices by next week and as such has asked for this param to be reviewed (and possibly modified if needed) as soon as possible. Given that this param is a global setting, obviously we would need to discuss this first. But let's cross that bridge if we have to.

Thanks,
Dylan",Ticket
need mqtt logs from adamos.com,"Please provide current queue-screenshots from adamos.com: 
Prometheus, mqtt_queue",Incident
NTT: Questions about 10.14 to 10.18 Upgrade.,"Enquiry from SAG Bangalore. 

  

We have few questions regarding 10.14 to 10.18 Upgrade. 

This is regarding upgrade planning for 'Baekart' and 'NTTC' Customer. 

*Current version:* C8Y 10.14 with Mongo DB v4 , Centos 7.7/7.9 

*Target version:*  C8Y 10.18 with MongoDB v5 , Rocky Linux 8.8 

Question is related to Mongo DB upgrade to v5 in between this. 

In operations guide it is mentioned that Mongo DB has to be upgraded to v5 after 10.16 upgrade. But when we are trying to upgrade from 10.15 to 10.16 in Dev environment  , base dependency file has references of v5. 

We want to understand that can we follow this upgrade path as it will help us to have easier fallback plan: 

We are planning to propose this plan to customer: 
# {color:#0747a6}Upgrade c8y from 10.14 to 10.15.{color} 
# {color:#0747a6}Upgrade c8y from 10.15 to 10.16.{color} 
# {color:#0747a6}Upgrade c8y from 10.16 to 10.17.{color} 
# {color:#0747a6}Upgrade c8y from 10.17 to 10.18.{color} 
# {color:#0747a6}Mongo DB upgrade from v4 to v5.{color} 

<<<< Testing and verification gap of few weeks for customer>> 

{color:#0747a6}     6. Upgrade from Centos to Rocky Linux 8.8.{color} 

Is this upgrade path correct? 

Could you please confirm from R&D as it is not clear from documentation if mongo db can be upgraded after 10.18.",Ticket
BSci: Decision on annual vs continuous updates for non prod,"Customer wants their Non-Prod environment to be Continuous Updates. 

  

From Boston Scientific: 

We have come to a decision on wanting to only update our non-production environment to be continuous updates. 

We have not decided on our production environment yet 

This is ONLY for our non-production environment for tenants on *.iotnonprod.bsci.com",Incident
Delete tenants,"We have a request for you on the delete of tenants. Since the total number of available tenants is limited on contract, we would like you to delete the following tenants we will not use anymore: 
* [okippa02.cumonosu.com|http://okippa02.cumonosu.com/] 
* hisys_pbx_dev.cumonosu.com 

These tenants are now suspended. Because we need to create the new tenants right now, we would like you to delete these tenants as soon as possible. Can you request Ops team to do so?",Ticket
inconsistency in notifications similar to CSOIOT-6084,"A customer on demo-solutions.emea.cumulocity.com has issues with realtime notifications - connection type websocket. 
Details: 

************************************************ 

We'd like your support on an issue we're facing using Cumulocity's WEB SDK on our server. The issue we're facing, in particular, is concerning the realtime notifications feature not receiving notifications once deployed onto our AWS servers. Mind you, it works perfectly well when we're testing it on our local machines. The notifications come through quickly & swiftly and are handled. However, no notification seems to come in the pipeline once the same piece of code is deployed on AWS. No errors are thrown either. 

Our servers run on docker to be environment agnostic. We've checked all ports, firewalls, and application+network load balancers on AWS (to the best of our ability & understanding) to ensure nothing is blocking in-bound/out-bound requests on the WebSocket. 

We would like support from your team as to how we can proceed on resolving this challenge, as having real-time notifications is critical to the functioning of our application. This support could be in the form of a conference call where we can sit together and probe the issue, or any other approach you think would be most productive. 

************************************************ 

This is similar to: 
- Ops ticket [https://itrac.eur.ad.sag/browse/CSOIOT-6084]  
- R&D ticket [https://itrac.eur.ad.sag/browse/IOT-16623]  

Differences: 
- this ticket uses connection type websocket, the other long-polling 
- this ticket is to a tenant on .emea.cumulocity.com, the other to a tenant on .cumulocity.com  

I made this test below, same result as the other ticket, but I'm not sure if this is the poof of the issue: 

1. get the handshake session 
POST {\{url}}/cep/realtime 
body: 

[ 
    { 
        ""version"":""1.0"", 
        ""minimumVersion"":""0.9"", 
        ""channel"":""/meta/handshake"", 
        ""supportedConnectionTypes"":[""websocket""], 
        ""advice"":{ 
            ""timeout"":60000,""interval"":0 
        } 
    } 
] 
Response: 200 OK with '...  ""clientId"": ""70w1zpluhecw7oxrhrdtdzizxegwj""....""successful"": true....' 
2. subscribe to the device channel 
POST {\{url}}/cep/realtime 
body: 

[ 
    { 
        ""channel"":""/meta/subscribe"", 
        ""subscription"":""/managedobjects/122285724"", 
        ""clientId"":""70w1zpluhecw7oxrhrdtdzizxegwj"" 
    } 
] 
Response: 200 OK with '....""successful"": true....' 

3. Use long polling connection for retrieving data from a channel 
POST {\{url}}/cep/realtime 
body: 

[ 
    { 
        ""channel"":""/meta/connect"", 
        ""connectionType"":""websocket"", 
        ""clientId"":""70w1zpluhecw7oxrhrdtdzizxegwj"" 
    } 
] 
Although the device receives a lot of measurements, no response is listed here. ","1. Incident  
2. Ticket"
Need lwm2m logs from Itron environment.,"Need lwm2m agent log from Itron environment.  Can you check to see if they are still at debug level?  Unfortunately the logs from Grafana arent't sufficient for R&D. 

  

We need them from 7 July starting around 21:20 EDT.   

  

Hopefully they are still available,",Ticket
Increase in http 502 responses on eu-latest since May 8th.,"Graylog reveals a big increase in http 502 responses on eu-latest since May 8th. Most are responses to POST requests but there are also some GETs. 

Almost all are from microservices, both user written microservices and our own such as apama- starter. 

Checking microservice logs I can see that in the case of POST the measurement is not created, therefore data is being lost! 


Prior to 8th May it can be seen that there is a spike in 502s every morning around 1am.",Incident
LWM2M bootstrap server issue on US instance.,"Unable to set up devices using the bootstrap server:

2021-10-21 08:12:59,436 INFO RegistrationEngine - Trying to start bootstrap session to coaps://lwm2m.us.cumulocity.com:5684 ...
2021-10-21 08:12:59,913 ERROR RegistrationEngine - Bootstrap failed: INTERNAL_SERVER_ERROR .
2021-10-21 08:12:59,915 INFO CumulocityLwm2mClientDemo - event log EventType: BOOTSTRAP_FAILURE, ResourceId: null, value: null, arguments: [Bootstrap Server [uri=coaps://lwm2m.us.cumulocity.com:5684], INTERNAL_SERVER_ERROR, ]
2021-10-21 08:12:59,915 INFO RegistrationEngine - Unable to connect to any server, next retry in 600s...



This is the command I am using: java -jar device.jar -u lwm2m.us.cumulocity.com:5684 -n Test1_PSK_kent -i 22335571 -p 626f6f74737472616f -b


Info from Ozge:

this one 
$ java -jar CumulocityLwm2mClientDemo-jar-with-dependencies.jar -u lwm2m.us.cumulocity.com:5784 -n Test1_PSK_kent -i 12345671 -p 13757065726861736c6f
even returns sth. worse ?? 
17:52:15.448 [CoapServer(main)#1] DEBUG org.eclipse.californium.core.network.InMemoryMessageExchangeStore - [LWM2M Client-coaps://] removing Exchange[L1, complete] for MID KeyMID[lwm2m.us.cumulocity.com/52.32.209.142:5784-58559]
17:52:15.448 [RegistrationEngine#0] WARN org.eclipse.leshan.client.engine.DefaultRegistrationEngine - Unable to send register request
org.eclipse.leshan.core.request.exception.SendFailedException: Request CON-POST MID=58559, Token=74354C089F004AAF, OptionSet={'Uri-Path':'rd', 'Content-Format':'application/link-format', 'Uri-Query':['b=U','lwm2m=1.0','lt=30','ep=Test1_PSK_kent']}, Received 'fatal alert/HANDSHAKE_FAILURE' '</>;rt='oma.lwm2m',</1/0'.. 156 bytes cannot be sent
at org.eclipse.leshan.core.californium.CoapSyncRequestObserver.onSendError(CoapSyncRequestObserver.java:106)
at org.eclipse.californium.core.coap.Message.setSendError(Message.java:1063)
at org.eclipse.californium.core.coap.Request.setSendError(Request.java:1132)
at org.eclipse.californium.core.network.CoapEndpoint$SendingCallback.onError(CoapEndpoint.java:1531)
at org.eclipse.californium.elements.RawData.onError(RawData.java:303)
at org.eclipse.californium.scandium.DTLSConnector$2.handshakeFailed(DTLSConnector.java:521)
at org.eclipse.californium.scandium.dtls.Handshaker.handshakeFailed(Handshaker.java:1882)
at org.eclipse.californium.scandium.DTLSConnector.processAlertRecord(DTLSConnector.java:1732)
at org.eclipse.californium.scandium.DTLSConnector.processRecord(DTLSConnector.java:1503)
at org.eclipse.californium.scandium.DTLSConnector$12.run(DTLSConnector.java:1365)
at org.eclipse.californium.elements.util.SerialExecutor$1.run(SerialExecutor.java:289)
at java.base/java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515)
at java.base/java.util.concurrent.FutureTask.run(FutureTask.java:264)
at java.base/java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:304)
at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128)
at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628)
at java.base/java.lang.Thread.run(Thread.java:829)
Caused by: org.eclipse.californium.scandium.dtls.HandshakeException: Received 'fatal alert/HANDSHAKE_FAILURE'
at org.eclipse.californium.scandium.DTLSConnector.processAlertRecord(DTLSConnector.java:1722)
... 9 common frames omitted
17:52:15.448 [CoapServer(main)#1] DEBUG org.eclipse.californium.core.network.Exchange - local Exchange[L1, complete] completed CON-POST MID=58559, Token=74354C089F004AAF, OptionSet={'Uri-Path':'rd', 'Content-Format':'application/link-format', 'Uri-Query':['b=U','lwm2m=1.0','lt=30','ep=Test1_PSK_kent']}, canceled '</>;rt='oma.lwm2m',</1/0'.. 156 bytes!
17:52:15.449 [RegistrationEngine#0] INFO com.cumulocity.lwm2mclient.CumulocityLwm2mClientDemo - event log EventType: REGISTRATION_FAILURE, ObjectId: null, ResourceId: null, value: null, arguments: [coaps://lwm2m.us.cumulocity.com:5784[LWM2M_SERVER 123], null, null, org.eclipse.leshan.core.request.exception.SendFailedException: Request CON-POST MID=58559, Token=74354C089F004AAF, OptionSet={'Uri-Path':'rd', 'Content-Format':'application/link-format', 'Uri-Query':['b=U','lwm2m=1.0','lt=30','ep=Test1_PSK_kent']}, Received 'fatal alert/HANDSHAKE_FAILURE' '</>;rt='oma.lwm2m',</1/0'.. 156 bytes cannot be sent]
17:52:15.451 [RegistrationEngine#0] INFO org.eclipse.leshan.client.engine.DefaultRegistrationEngine - Try to register to coaps://lwm2m.us.cumulocity.com:5784 again in 600s...","1. Incident
2. Incident
3. Incident
4. Incident"
Siemens AWS PROD - Security issues on AWS PROD,"Hi, 

SIEMENS security scans reported some issues on the AWS WebMethods Integ Account 133648259725. The issues are open security groups. 

The below instances allow unrestricted ""Ingress"" from the internet (0.0.0.0/0) on one ore more ports: 

arn:aws:ec2:eu-central-1:042578614091:instance/i-00c3e5f5476016df1 
arn:aws:ec2:eu-central-1:042578614091:instance/i-01237ec0f4557f9b2 
arn:aws:ec2:eu-central-1:042578614091:instance/i-01a3b8df7ae50b6be 
arn:aws:ec2:eu-central-1:042578614091:instance/i-05cd2e9ac6474a097 
arn:aws:ec2:eu-central-1:042578614091:instance/i-05d6c4a9be4fefbf8 
arn:aws:ec2:eu-central-1:042578614091:instance/i-081719052e45f1363 
arn:aws:ec2:eu-central-1:042578614091:instance/i-0875f1a034ba99b6c 
arn:aws:ec2:eu-central-1:042578614091:instance/i-0aeb8dbdd149c6bbe 
arn:aws:ec2:eu-central-1:042578614091:instance/i-0b310a2162237423f 
arn:aws:ec2:eu-central-1:042578614091:instance/i-0c01b1e199a2cb66f 
arn:aws:ec2:eu-central-1:042578614091:instance/i-0d75cc2bc9c6574f6 
arn:aws:ec2:eu-central-1:042578614091:instance/i-0ead292d28d56b46c 

SIEMENS security requierement is that this will be fixed within the next weeks. 

In case those ports are needed please comment the usage so that Siemens know more details about the demand 

best regards 
Michael",Incident
Delete tenant t802682178,"Hi Ops, 
Kai Sieben asked if we can please delete tenant t802682178 from eu-latest. 

Thanks, 
Jelle 

 ",Ticket
Gardner Denver - Database backup,"Gardner Denver would like another backup of their database. 

Tenant:  [https://industrials.cas.irco.com/] 

For large files you can share with the customer: 

[https://sagportal.sharepoint.com/sites/IT-Self-Service/SitePages/SAG-External-Sharing.aspx] 

  

  

 ",Ticket
